remun;sac;no_computable;aporte_real;sindical;otros_desc;alq_beneficio;ded_grales_otras;cajas_compl;conyuge;hijos;hijo_incap;ret_informada
6000000;0;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
9000000;3000000;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
6000000;0;0;0;0;0;300000;0;0;0;0;0;
9000000;3000000;0;0;0;0;300000;0;0;0;0;0;
